,precision,recall,f1-score,support
fake,0.9962962962962963,0.9962962962962963,0.9962962962962963,540.0
true,0.9962962962962963,0.9962962962962963,0.9962962962962963,540.0
accuracy,0.9962962962962963,0.9962962962962963,0.9962962962962963,0.9962962962962963
macro avg,0.9962962962962963,0.9962962962962963,0.9962962962962963,1080.0
weighted avg,0.9962962962962963,0.9962962962962963,0.9962962962962963,1080.0
